LeftPosition,RightPosition,LeftVelocity,RightVelocity,LeftAcceleration,RightAcceleration,Heading
0.0,0.0,-0.0,-0.0,-200.0,-200.0,0.0
-0.02000358037888066,-0.01999641962111934,-2.000358037888066,-1.9996419621119341,-200.1073953125477,-199.89260468745235,359.9999953373614
-0.06003220426799098,-0.05996779573200903,-4.002862388911032,-3.9971376110889683,-200.42910311551356,-199.5708968844865,359.99992543104315
-0.12012870250942098,-0.11987129749057902,-6.0096498241430005,-5.9903501758569995,-200.96369628674077,-199.03630371325934,359.99962277488993
-0.20035708445599804,-0.19964291554400201,-8.022838194657705,-7.977161805342299,-201.70882112573855,-198.2911788742615,359.9988090165131
-0.30080225739131755,-0.29919774260868254,-10.04451729353195,-9.955482706468054,-202.66123222055964,-197.33876777944036,359.9970961855196
-0.4215696602680056,-0.4184303397319945,-12.076740287668802,-11.923259712331198,-203.8168438579521,-196.1831561420479,359.9939883684848
-0.5627848143703685,-0.5572151856296316,-14.121515410236297,-13.878484589763707,-205.17078716992,-194.82921283008,359.9888838583654
-0.7245928004673335,-0.7154071995326665,-16.180798609696502,-15.819201390303494,-206.71748386051163,-193.28251613948837,359.98107767730846
-0.9071576704542841,-0.892842329545716,-18.25648699869506,-17.74351300130494,-208.45072662125585,-191.54927337874415,359.96976443968134
-1.1106617973232953,-1.089338202676705,-20.350412686901112,-19.649587313098888,-210.36376022988557,-189.63623977011449,359.9540416335013
-1.3353051732450507,-1.3046948267549494,-22.46433759217555,-21.535662407824443,-212.44936856223268,-187.55063143776738,359.932913198244
-1.581304671148855,-1.5386953288511451,-24.599949790380425,-23.40005020961956,-214.69996642503688,-185.30003357496318,359.90529315612883
-1.8488932777776135,-1.7911067222223866,-26.758860662875847,-25.241139337124153,-217.10768433928848,-182.89231566071157,359.87000937245523
-2.1383192813701286,-2.0616807186298716,-28.942600359251504,-27.05739964074849,-219.66442912979528,-180.33557087020478,359.82580832894905
-2.4498454684602935,-2.3501545315397063,-31.152618709016476,-28.847381290983495,-222.3619656174333,-177.63803438256664,359.7713584169099
-2.7837482887804255,-2.656251711219574,-33.39028203201322,-30.609717967986768,-225.1919487230494,-174.8080512769506,359.7052548698609
-3.140316994900199,-2.9796830050998,-35.656870611977354,-32.343129388022604,-228.1459411722217,-171.8540588277783,359.6260249447267
-3.5198528553562776,-3.3201471446437214,-37.95358604560786,-34.04641395439213,-231.2154486389947,-168.78455136100524,359.53212856380355
-3.922668228972547,-3.677331771027452,-40.281537361626945,-35.718462638373055,-234.39182264076763,-165.60817735923243,359.42196866015945
-4.3490857275952814,-4.050914272404718,-42.64174986227341,-37.35825013772658,-237.66623581275633,-162.33376418724373,359.29389090062455
-4.799437313914025,-4.440562686085975,-45.035158631874324,-38.96484136812565,-241.02954538897924,-158.97045461102076,359.14619011006835
-5.274063351611963,-4.845936648388037,-47.4626037697938,-40.5373962302062,-244.47212483770426,-155.52787516229574,358.97711564630924
-5.773311665846234,-5.266688334153766,-49.924831423427094,-42.07516857657292,-247.98366350954745,-152.01633649045266,358.7848720877549
-6.297536355049511,-5.702463644950489,-52.42246892032766,-43.577531079672326,-251.55283761674974,-148.4471623832502,358.5676351590731
-6.847096740089007,-6.152903259910993,-54.95603850394958,-45.04396149605038,-255.16703678014,-144.83296321985995,358.32354109802435
-7.422355885958542,-6.6176441140414575,-57.52591458695352,-46.47408541304644,-258.8118796745813,-141.1881203254187,358.05071181265043
-8.02367912181504,-7.096320878184961,-60.13232358564969,-47.867676414350285,-262.4707857505843,-137.5292142494157,357.7472490557187
-8.651432230042966,-7.588567769957034,-62.77531082279256,-49.22468917720737,-266.12440869477206,-133.87559130522783,357.4112488915727
-9.30597942247297,-8.094020577527031,-65.45471924300028,-50.545280756999624,-269.75004295925066,-130.24995704074928,357.0408039529053
-9.987680727230542,-8.612319272769458,-68.17013047575732,-51.829869524242625,-273.3209318681754,-126.67906813182455,356.6340340729232
-10.69688924400102,-9.143110755998977,-70.92085167704799,-53.07914832295194,-276.8056153223707,-123.19438467762932,356.18907372853874
-11.433947597218502,-9.686052402781495,-73.70583532174805,-54.29416467825187,-280.16719099062635,-119.83280900937366,355.70411478680427
-12.19918402372792,-10.240815976272076,-76.52364265094181,-55.476357349058134,-283.36266042847296,-116.63733957152697,355.17740637878063
-12.99290771676677,-10.807092283233226,-79.37236930388492,-56.627630696115,-286.3423209327307,-113.6576790672693,354.60728690435093
-13.815403494694381,-11.384596505305614,-82.24957779276116,-57.750422207238756,-289.04931212452664,-110.95068787547328,353.9922083365821
-14.66692582904278,-11.973074170957215,-85.15223343483983,-58.847766565160086,-291.419369743718,-108.58063025628203,353.33075496020626
-15.547691892284305,-12.572308107715688,-88.07660632415259,-59.92339367584732,-293.38093789598116,-106.61906210401885,352.621705831781
-16.457874172993744,-13.18212582700625,-91.01822807094372,-60.98177192905619,-294.8556523795245,-105.14434762047541,351.864039161902
-17.39759232783439,-13.802407672165604,-93.97181548406448,-62.02818451593538,-295.7594058668942,-104.24059413310576,351.0569880537117
-18.366904528857013,-14.433095471142979,-96.93122010226242,-63.068779897737464,-296.00407123276983,-103.99592876723005,350.20008633343446
-19.36579853849724,-15.074201461502751,-99.8894009640227,-64.11059903597724,-295.4999735633171,-104.50002643668287,349.2932133348311
-20.365262442537276,-15.707603035964013,-99.9463904040033,-63.340157446126256,-46.648728372485294,46.64872837248528,348.350495560178
-21.364749790624465,-16.33385018276242,-99.94873480871905,-62.624714679840736,204.59569463136788,195.40430536863212,347.38781549593403
-22.36380882924149,-16.953560110614216,-99.90590386170248,-61.97099278517962,-35.92038723024504,35.92038723024504,346.4075877083235
-23.363225398804175,-17.56811312657264,-99.9416569562688,-61.45530159584233,-30.553550088492223,30.55355008849221,345.41207713913536
-24.362917949244146,-18.17834207190154,-99.9692550439971,-61.022894532890035,-25.170671468446006,25.170671468446013,344.40359582014355
-25.362809162898643,-18.785076038247038,-99.98912136544948,-60.67339663454991,-19.796784320457185,19.796784320457178,343.3844484637811
-26.362399523769973,-19.388880014355607,-99.95903608713292,-60.38039761085697,-14.446535719546706,14.446535719546716,342.3569311796561
-27.36219844598832,-19.990916777754855,-99.97989222183467,-60.20367633992471,-9.179903325333868,9.179903325333896,341.3232904914705
-28.362137798389785,-20.591983710215093,-99.99393524014641,-60.10669324602367,-4.002421053663576,4.002421053663567,340.28571442984327
-29.362126629071227,-21.192846382820793,-99.99888306814415,-60.08626726056992,1.0572620048813361,-1.057262004881349,339.24638560978104
-30.361982733826846,-21.79419396146953,-99.9856104755618,-60.134757864873926,5.968999752707686,-5.968999752707691,338.2075279082345
-31.36195710968715,-22.396951328822276,-99.99743758603057,-60.275736735274535,10.712102681167515,-10.712102681167494,337.17123522264694
-32.36182169285816,-23.001727358758377,-99.98645831710061,-60.47760299361004,15.256176579927521,-15.256176579927507,336.13947113493543
-33.361519332029154,-23.609202952343832,-99.96976391709988,-60.74755935854567,19.581013809190235,-19.58101380919022,335.11416080185955
-34.36099504255507,-24.22002696324135,-99.94757105259168,-61.0824010897515,23.667199516964327,-23.66719951696434,334.09713179204476
-35.36019605015997,-24.834813965712545,-99.9201007604901,-61.47870024711953,27.498402904806177,-27.498402904806134,333.09011158632336
-36.360008115827206,-25.454722995634526,-99.98120656672377,-61.99090299219826,31.1198968932803,-31.119896893280334,332.0947047148636
-37.359540127857365,-26.07977766516416,-99.9532012030156,-62.50546695296316,34.4180145784855,-34.4180145784855,331.11245585788424
-38.358738486382016,-26.71047616325005,-99.9198358524653,-63.069849808589005,37.43192732340755,-37.43192732340755,330.14485329906046
-39.3575524993078,-27.34727712008016,-99.88140129257877,-63.68009568301128,40.1584484438892,-40.1584484438892,329.1932275728524
-40.35721523712094,-27.99142490436879,-99.96627378131419,-64.41477842886295,42.70717843901369,-42.7071784390137,328.2587479301469
-41.356458777292865,-28.642519905426177,-99.92435401719263,-65.10950010573839,44.87322973808943,-44.873229738089385,327.34256120503096
-42.355234985529925,-29.300898044294943,-99.87762082370594,-65.8378138868766,46.760250348881115,-46.76025034888109,326.4457315444851
-43.354942725016,-29.96781948489714,-99.97077394860771,-66.69214406021975,-191.41845200542707,-208.58154799457287,325.56915085558506
-44.354132501326546,-30.642616501850743,-99.91897763105422,-67.47970169536,49.88122272005236,-49.88122272005234,324.7135932831316
-45.35276189207144,-31.325509083912483,-99.86293907448945,-68.28925820617408,50.99756320734666,-50.997563207346644,323.87985029901574
-46.35232440257026,-32.01774387489933,-99.95625104988159,-69.22347909868466,52.0396304162035,-52.03963041620346,323.0684828648855
-47.3512701076625,-32.71843794298496,-99.89457050922412,-70.06940680856336,52.70811070897442,-52.70811070897442,322.28001197682937
